Item,unit,,type,category,Rank
Ranitidine 150mg,Tablet,20,Private,Pharmacy,
Salbutamol 4mg,Tablet,20,Private,Pharmacy,
Spironolactone 25mg,Tablet,60,Private,Pharmacy,
SP (Sulphadox 500mg/ pyrimetha 25mg),Tablet,20.8,Private,Pharmacy,
Telmisartan 40mg and amlodipine 5mg,Tablet,100,Private,Pharmacy,
Tramadol+paracetamol tabs,Tablet,100,Private,Pharmacy,
Vitamin B complex strong,Tablet,25,Private,Pharmacy,
"Vitamin, multiple   ",Tablet,25,Private,Pharmacy,
Warfarin 5mg,Tablet,60,Private,Pharmacy,
Zinc tablets 20mg,Tablet,50,Private,Pharmacy,
Diamox 250mg ,Tablet,105,Private,Pharmacy,
"Adrenaline 1/1000, 1ml",Ampoule,200,Private,Pharmacy,
"Aminophylline 25mg/ml, 10ml",Vial,315,Private,Pharmacy,
Ampicillin injection 1gm PFR,Vial,750,Private,Pharmacy,
Anti-Rabies vaccine,Ampoule,7300,Private,Pharmacy,
"Atropine sulphate  1mg/ml, 1ml",Ampoule,200,Private,Pharmacy,
Benzathine benzylpenicillin 1.44g (2.44MU),Vial,520,Private,Pharmacy,
"Benzylpenicillin 3g (5MU), PFR (X-PEN).",Vial,520,Private,Pharmacy,
"Bupivacaine spinal heavy 0.5%, 4ml ampoule",Vial,1040,Private,Pharmacy,
Calcium Gluconate injection,Vial,450,Private,Pharmacy,
Ceftriaxone 1gm,Vial,1500,Private,Pharmacy,
"Chloramphenicol succinate 1g, PFR",Vial,520,Private,Pharmacy,
"Chlorpromazine hcl 25mg/ml, 2ml",Ampoule,500,Private,Pharmacy,
Cloxacillin 500mg powder for injection,Vial,1880,Private,Pharmacy,
"Dexamethasone 4mg/ml, 2ml ",Ampoule,500,Private,Pharmacy,
"Dexamethasone 5mg/ml, 1ml ",Ampoule,450,Private,Pharmacy,
"Dextrose 50%, 20ml",Vial,520,Private,Pharmacy,
Diclofenac inj 75mg/3ml,Ampoule,300,Private,Pharmacy,
"Diazepam 5mg/ml, 2ml",Ampoule,450,Private,Pharmacy,
Dopamin 200mg/5ml,Ampoule,200,Private,Pharmacy,
"Ephedrine Hcl 30mg/ml, 1ml",Vial,1200,Private,Pharmacy,
Ergometrine maleate 500mcg/ml,Ampoule,2500,Private,Pharmacy,
Ergometrine 500mcg/ml +Oxytocin 10IU,Ampoule,2500,Private,Pharmacy,
"Fluconazole 2mg/ml,100ml ",Vial,1400,Private,Pharmacy,
"Frusemide 10mg/ml, 2ml",Ampoule,150,Private,Pharmacy,
"Gentamicin 40mg/ml, 2ml",Ampoule,250,Private,Pharmacy,
"Haloperidol 5mg/ml, 1ml",Ampoule,450,Private,Pharmacy,
Halothane 250ml,Vial,35000,Private,Pharmacy,
Hydralazine hydrocloride 20mg powder  inj,Ampoule,1000,Private,Pharmacy,
Hydrocortisone sod succinate iv 100mg/2ml,Ampoule,750,Private,Pharmacy,
"Insulin soluble 100 IU/ml, 10ml",Vial,15600,Private,Pharmacy,
"Insulin Lente 100 IU/ml, 10ml",Vial,15600,Private,Pharmacy,
Heamacell 500ml,500ml,8000,Private,Pharmacy,
"Ketamine hydrochloride 50mg/ml, 10ml",Vial,1500,Private,Pharmacy,
"Lidocaine 1%,25ML",25ml,520,Private,Pharmacy,
LIdocaine 2% 30ML,25ml,600,Private,Pharmacy,
"Lidocaine 5%+dextrose7.5%heavy spinal,2ml",Ampoule,900,Private,Pharmacy,
"Lidocaine 2%+epinephrine Dental, 1.8ml",vial,1040,Private,Pharmacy,
"Magnesium sulphate 50%, 20ml",Vial,900,Private,Pharmacy,
Metoclopramide 10mg/2ml inj,Ampoule,300,Private,Pharmacy,
"Metronidazole iv 5mg/ml, 100ml",100ml,750,Private,Pharmacy,
"Naloxone 0.4mg/ml, 1ml",Ampoule,650,Private,Pharmacy,
Neostigmine 2.5mg/ml,Ampoule,1600,Private,Pharmacy,
"Oxytocin 10 IU/ml, 1ml",Ampoule,105,Private,Pharmacy,
Paradehyde inj,Ampoule,15600,Private,Pharmacy,
Pethidine hydrochloride 100mg,Ampoule,2000,Private,Pharmacy,
Phenobarbitone inj,Ampoule,1000,Private,Pharmacy,
"Promethazine hydrochloride 25mg/ml, 2ml",Ampoule,450,Private,Pharmacy,
Propofol inj,Ampoule,9750,Private,Pharmacy,
"Quinine dihydrochloride 300mg/ml, 2ml",Ampoule,350,Private,Pharmacy,
Salbutamol nebuliser,Ampoule,1000,Private,Pharmacy,
Suxamethonium 100mg/2ml,Ampoule,520,Private,Pharmacy,
"Thiopentone sodium 500mg, PFR",Vial,2000,Private,Pharmacy,
Triamcinolone 40mg inj,Vial,3000,Private,Pharmacy,
Vitamin K inj 10mg/ml,Vial,260,Private,Pharmacy,
Vecuronium bromide,Vial,20385,Private,Pharmacy,
"Water for injections, 10ml",Vial,65,Private,Pharmacy,
Sodium lactate cpd (Ringer`s lactate)1000ml,1000ml,1880,Private,Pharmacy,
"Dextrose (glucose) 5%, 1000ml",1000ml,1880,Private,Pharmacy,
"Sodium chloride 0.9%, 1000ml",1000ml,1880,Private,Pharmacy,
Amoxycillin 125mg/ml suspension,100ml,750,Private,Pharmacy,
Augmentin syrup,100ml,5200,Private,Pharmacy,
Ant-acid syrup,100ml,1200,Private,Pharmacy,
Cefuroxime syrup,100ml,1700,Private,Pharmacy,
Clarithromycin 125mg/5ml,100ml,2600,Private,Pharmacy,
Cloxacillin 125mg/5ml,100ml,750,Private,Pharmacy,
Coldril syrup,100ml,1300,Private,Pharmacy,
Cotrimoxazole suspention 240mg/5ml,100ml,650,Private,Pharmacy,
Erythromycin suspension 125mg/5ml,100ml,850,Private,Pharmacy,
Ferous sulphate syrup (Iron syrup),100ml,1200,Private,Pharmacy,
Metronidazole oral suspension 200mg/5ml,100ml,600,Private,Pharmacy,
Chloramphenicol syrup,100ml,1000,Private,Pharmacy,
Cough suppressant,100ml,1200,Private,Pharmacy,
Cough depressant,100ml,1200,Private,Pharmacy,
"Nystatin oral suspension 100,000 IU/dose",30ml,800,Private,Pharmacy,
Oral rehydration sachet for 1L solution,sachet,200,Private,Pharmacy,
Paracetamol  syrup 120mg/5ml,100ml,600,Private,Pharmacy,
"Salbutamol sulphate inhalation, 100mcg/d",100ml,2000,Private,Pharmacy,
Liquid Paraffin,100ml,2000,Private,Pharmacy,
Salbutamol syrup,100ml,800,Private,Pharmacy,
Chloramphnicol eye drops,Each,450,Private,Pharmacy,
Dexamethasone eye drops,Each,450,Private,Pharmacy,
Gentamycin eye/ear drop,Each,450,Private,Pharmacy,
Silver nitrate pencil,Each,6300,Private,Pharmacy,
Tetracycline eye ointment 1% (TEO),Each,300,Private,Pharmacy,
Annusal supositories,Each,320,Private,Pharmacy,
Diclofenac suppository,Each,320,Private,Pharmacy,
Clotrimazole pessaries,Pack,850,Private,Pharmacy,
"Nystatin pessaries 100,000 IU",Pack,600,Private,Pharmacy,
Paracetamol suppository child,Each,210,Private,Pharmacy,
Acyclovir Cream 5%,Each,600,Private,Pharmacy,
Diclofenac gel 15gm,Each,1500,Private,Pharmacy,
Betamethasone skin oint 0.1%,Each,750,Private,Pharmacy,
Benzyl benzoate application 25%,Each,520,Private,Pharmacy,
Calamine lotion,100ml,1000,Private,Pharmacy,
"Gentian violet paint, aqueous 1%",25g,950,Private,Pharmacy,
Hydrocortisone ointment 1%,Each,750,Private,Pharmacy,
Ichthammol (ichthyol) 10% ointment,Each,700,Private,Pharmacy,
Clotrimazole cream,Each,750,Private,Pharmacy,
Quardem cream,Each,750,Private,Pharmacy,
Podophyllin paint 10ml,Each,3300,Private,Pharmacy,
Miconazole cream,30ml,650,Private,Pharmacy,
Silver sulphadiazine cream 1%,Each,750,Private,Pharmacy,
benzoic acid(6%) and salicylic acid(3%) ointment,Each,1000,Private,Pharmacy,
Whitfield ointment compound,Each,1000,Private,Pharmacy,
Cetrimide15%+chlorhexidine 1.5%(Savlon),1litre,14000,Private,Pharmacy,
Dyna-Hex (Chlorhexidine) 4%,1litre,13000,Private,Pharmacy,
Gluteraldehyde soln 2% (Cidex) 5litres,5litres,21000,Private,Pharmacy,
"Hydrogen peroxide, 20 vol.",200ml ,1100,Private,Pharmacy,
Eusol solution,2.5ml,19500,Private,Pharmacy,
Iodine solution (Betadine) 10%,1litre,3250,Private,Pharmacy,
Methylated Spirit 1000ml,5litres,16650,Private,Pharmacy,
Simple extraction: Adult,Each,4000,Private,Pharmacy,
Simple extraction :Children,Each,2000,Private,Dental,
Surgical Extraction,Each,6000,Private,Dental,
Minor oral Surgery,Each,5000,Private,Dental,
Incision and drainage,Each,4500,Private,Dental,
Jaw Fracture wiring (IMF),Each,9000,Private,Dental,
TMJ Reduction,Each,6000,Private,Dental,
One/ two surface filling,Each,4500,Private,Dental,
Three or more Surface filling,Each,6000,Private,Dental,
Composite filling,Each,6000,Private,Dental,
Temporary Filling,Each,4000,Private,Dental,
First Canal,Each,9000,Private,Dental,
Each additional canal,Each,6000,Private,Dental,
Scaling and polishing,Each,11000,Private,Dental,
Abdomen ultrasound scan,Each,7500,Private,Radiology,1
Breast ultrasound scan,Each,3750,Private,Radiology,1
Cardiac ultrasound scan,Each,3750,Private,Radiology,1
Obsterics ultrasound scan,Each,3750,Private,Radiology,5
Pelvic ultrasound scan,Each,3750,Private,Radiology,
KUB ultrasound scan,Each,3750,Private,Radiology,
CT Brain/Skull/Head,Each,,Private,Radiology,
CT Sinuses,Each,,Private,Radiology,
CT Neck (Soft tissue),Each,,Private,Radiology,
CT Chest,Each,,Private,Radiology,3
CT Abdomen (Plain),Each,,Private,Radiology,4
CT Abdomen + Oral +IV Contrast,Each,,Private,Radiology,
CT Pelvis,Each,,Private,Radiology,
Barium swallow contrast study,Each,,Private,Radiology,6
Barium meal contrast study,Each,,Private,Radiology,
Barium follow through contrast study,Each,,Private,Radiology,
Barium enema contrast study,Each,,Private,Radiology,
Abdomen (KUB),Each,30000,Private,Radiology,
Abdomen (Erect & Spine),Each,4500,Private,Radiology,
Cervical Spine (AP & LAT View),Each,4500,Private,Radiology,
Chest (PA & PA Views),Each,4500,Private,Radiology,
Chest (Lateral views),Each,4500,Private,Radiology,
Chest (Portable),Each,4500,Private,Radiology,
Elbow (AP & LAT View),Each,4500,Private,Radiology,
Facial Bones radiography,Each,4500,Private,Radiology,
Femur (AP & LAT Views),Each,4500,Private,Radiology,
Forearm (AP & LAT Views),Each,4500,Private,Radiology,
Hand (AP & LAT Views),Each,4500,Private,Radiology,
Knee (AP & LAT Views),Each,4500,Private,Radiology,
Lumbar Spine (AP & LAT Views),Each,4500,Private,Radiology,
Mandible (AP & Oblique Views),Each,4500,Private,Radiology,
Orbits radiography,Each,4500,Private,Radiology,
Pelvis radiography,Each,4500,Private,Radiology,
Scapula radiography,Each,4500,Private,Radiology,
Shoulder radiography,Each,4500,Private,Radiology,
Skull (AP + LAT Views),Each,4500,Private,Radiology,
Skull (LAT Views),Each,4500,Private,Radiology,
Skull (Townes Views),Each,4500,Private,Radiology,
Thoracic Spine (AP & LAT Views),Each,4500,Private,Radiology,
Tibia/Fibula (AP & LAT Views),Each,4500,Private,Radiology,
Upper Arm (AP & LAT Views),Each,4500,Private,Radiology,
P-Wound Surturing,Each,3200,Private,Radiology,
P-Incision drainage,Each,6000,Private,Other Procedures,
"P-POP.3"" (PER ROLL",Each,5000,Private,Other Procedures,
"P-POP.4""(PER ROLL)",Each,,Private,Other Procedures,
"P-POP.6""(PER ROLL)",Each,,Private,Other Procedures,
Reposition Luxated Joint,Each,3200,Private,Other Procedures,
Removal of foreign body,Each,142805,Private,Other Procedures,
Ear Syringing,Each,3500,Private,Other Procedures,
Suture removal,Each,800,Private,Other Procedures,
Iodine dressing,Each,2500,Private,Other Procedures,
Dressing 2nd grade healing,Each,1500,Private,Other Procedures,
Hyrogen Perioxide Dressing ,Each,2500,Private,Other Procedures,
Eusol Dressing,Each,2500,Private,Other Procedures,
Vaseline/Para Gause Dressing (per pack),Each,2400,Private,Other Procedures,
Packing of nasal bleeding,Each,4800,Private,Other Procedures,
Removal of Polyp Nose,Each,4800,Private,Other Procedures,
knee aspiration,Each,,Private,Other Procedures,
Catheterisation,Each,3500,Private,Other Procedures,
Removal skin tumour,Each,,Private,Other Procedures,
Lymph node Biopsy,Each,,Private,Surgery,
Haemorrhoidectomy,Each,,Private,Surgery,
Fistulectomy,Each,,Private,Surgery,
Wound Debridement,Each,,Private,Surgery,
Incision and drainage(marsupulization),Each,6000,Private,Surgery,
Anal strength,Each,,Private,Surgery,
Skin grafting,Each,,Private,Surgery,
Lumbar puncture,Each,1500,Private,Surgery,
Circumcision,Each,25000,Private,Surgery,
Circumcision Volu.,Each,,Private,Surgery,
Suprapubic Catheter,Each,10400,Private,Surgery,
Urethra Dilation,Each,,Private,Surgery,
Evacuation,Each,,Private,Surgery,
MVA,Each,,Private,Surgery,
Dilation and Curettage,Each,,Private,Surgery,
Cervix Biopsy,Each,,Private,Surgery,
Shirodkar Cerclage,Each,,Private,Surgery,
Examination (EUA).,Each,,Private,Surgery,
Removal of ganglion,Each,,Private,Surgery,
Fistulectomy,Each,,Private,Surgery,
Drainage of joint,Each,,Private,Surgery,
Insertion of Traction Pin,Each,,Private,Surgery,
Tendon Repair,Each,,Private,Surgery,
Skin Traction,Each,,Private,Surgery,
Prostatectomy,Each,,Private,Surgery,
Sequestrectomy,Each,,Private,Surgery,
Amputation of limb,Each,,Private,Surgery,
VVF Repair,Each,,Private,Surgery,
Oophorecotomy,Each,,Private,Surgery,
Salpingectomy,Each,,Private,Surgery,
Hysterectomy (TAH).,Each,,Private,Surgery,
Manual Placenta removal,Each,,Private,Surgery,
Tonsillectomy,Each,,Private,Surgery,
Other major laparatomies,Each,,Private,Surgery,
O/items: catheters,Each,,Private,Surgery,
O/items: Bags,Each,,Private,Surgery,
Repair of third degree tear,Each,,Private,Surgery,
Repair of ruptured uterus,Each,,Private,Surgery,
Evacuation incomplete abortion,Each,,Private,Surgery,
Polypectomy,Each,,Private,Surgery,
Caesarian Section,Each,,Private,Surgery,
Hernia Repair,Each,,Private,Surgery,
Removal of foreign body,Each,,Private,Surgery,
KELOIDECTOMY,Each,,Private,Surgery,
SPLENECTOMY,Each,,Private,Surgery,
Excision Lipoma,Each,,Private,Surgery,
Excision KEloid,Each,,Private,Surgery,
EXCISION BIOPSY,Each,,Private,Surgery,
Diagnostic Endoscopy,Each,,Private,Surgery,
CLO test,Each,,Private,Other Procedures,
Biopsy,Each,,Private,Other Procedures,
Hemodialysis,Each,,Private,Other Procedures,
Ethropoetin dialysis,each,,Private,Other Procedures,
Iron Hydroxide dialysis,each,,Private,Other Procedures,
Storage,each,,Private,Other Procedures,
Embalming,each,,Private,Mortuary,
REFRACTION,each,,Private,Mortuary,
VISUAL FIELD,each,,Private,Ophthalmology,
IOL BIOMETRY,each,,Private,Ophthalmology,
BLOOD SUGAR,each,,Private,Ophthalmology,
YAG CAPSULOTOMY,each,,Private,Ophthalmology,
YAG IRIDOTOMY,each,,Private,Ophthalmology,
FOCAL LASER,each,,Private,Ophthalmology,
PRP,each,,Private,Ophthalmology,
"I & D, I & C.",each,,Private,Ophthalmology,
FOREINGN BODY REMOVAL,each,,Private,Ophthalmology,
EXCISION & BIOPSY,each,,Private,Ophthalmology,
LID SPLIT,each,,Private,Ophthalmology,
LID REPAIR,each,,Private,Ophthalmology,
EVISCERATION,each,,Private,Ophthalmology,
EVISCERATION WITH SPHERE,each,,Private,Ophthalmology,
ENUCREATION,each,,Private,Ophthalmology,
Antenatal Service,each,,Private,Ophthalmology,
Any Subsequent visit,each,,Private,Maternity,
Normal Delivery (SVD),each,,Private,Maternity,
Management of PPH,each,,Private,Maternity,
Tear/Episiotopy,each,,Private,Maternity,
Eclampsia,each,,Private,Maternity,
Severe Anaemia,each,,Private,Maternity,
PP Sepsis,each,,Private,Maternity,
New born complications,each,,Private,Maternity,
Laparatomy/Raptured Ectopic Pregnancy,each,,Private,Maternity,
Evacuation,each,,Private,Maternity,
Hysterectomy,each,,Private,Maternity,
Caesarian Section,each,,Private,Maternity,
Manual Removal Placenta,each,,Private,Maternity,
3rd Degree tear,each,,Private,Maternity,
Severe Pneumonia,each,,Private,Maternity,
Severe Malaria in Pregnancy,each,,Private,Maternity,
Preterm labour,each,,Private,Maternity,
Meningitis,each,,Private,Maternity,
Postnatal checkup,each,,Private,Maternity,
Management of APH,each,,Private,Maternity,
Hydrocerectomy,each,,Private,Maternity,
BTL,each,,Private,Maternity,
acid alcohol fast bacilli,each,3000,Private,Laboratory,
blood culture and sensitivity,each,5500,Private,Laboratory,
other culture and sensitivities,each,5500,Private,Laboratory,
gram stain,each,3000,Private,Laboratory,
india ink,each,3500,Private,Laboratory,
culture,each,3000,Private,Laboratory,
wet prep ΓÇô T. vag,each,3000,Private,Laboratory,
acid phosphates,each,2000,Private,Laboratory,
albumin,each,2000,Private,Laboratory,
alkaline phosphate,each,2000,Private,Laboratory,
amylase,each,1500,Private,Laboratory,
biriribin (total and direct),each,1500,Private,Laboratory,
blood urea notrogen,each,2000,Private,Laboratory,
calcium,each,2000,Private,Laboratory,
carbon dioxide,each,2000,Private,Laboratory,
chloride,each,2000,Private,Laboratory,
cholesterol,each,2000,Private,Laboratory,
creatinine,each,2000,Private,Laboratory,
gamma glutamyl transferase,each,1500,Private,Laboratory,
glucose,each,1500,Private,Laboratory,
glucose tolerance test,each,3000,Private,Laboratory,
lactate dehydrogenase,each,1500,Private,Laboratory,
lithium,each,2000,Private,Laboratory,
potassium,each,2000,Private,Laboratory,
protein total,each,1500,Private,Laboratory,
prothrombin time,each,1500,Private,Laboratory,
SGOT ΓÇô AST,each,1500,Private,Laboratory,
SGPT ΓÇô ALT,each,2000,Private,Laboratory,
Globulin,each,2000,Private,Laboratory,
sodium,each,2000,Private,Laboratory,
triglycerides,each,2000,Private,Laboratory,
uric acid,each,2000,Private,Laboratory,
LDH,each,1500,Private,Laboratory,
bleeding time,each,2000,Private,Laboratory,
full blood count and indices,each,3000,Private,Laboratory,
differential only,each,2000,Private,Laboratory,
eosinophil count,each,2000,Private,Laboratory,
haematocrit,each,2000,Private,Laboratory,
erythrocyte count,each,2000,Private,Laboratory,
erythrocyte sedimentaion rate (ESR),each,2000,Private,Laboratory,
Haemoglobin (HB),each,2000,Private,Laboratory,
lee white coagulation time,each,1500,Private,Laboratory,
lupus,each,1500,Private,Laboratory,
erythomatosus cells,each,1500,Private,Laboratory,
platelet count,each,1500,Private,Laboratory,
sickle cell test,each,1500,Private,Laboratory,
reticulocyte count ,each,1500,Private,Laboratory,
white cell count,each,1500,Private,Laboratory,
malaria parasite smear,each,1000,Private,Laboratory,
midnight blood smear for filariasis,each,1500,Private,Laboratory,
other haemo parasite smear,each,2000,Private,Laboratory,
rectal snip exam,each,2000,Private,Laboratory,
stool microscopy,each,2000,Private,Laboratory,
stool ocult blood,each,2000,Private,Laboratory,
urine microscopy,each,2000,Private,Laboratory,
mRDT,each,850,Private,Laboratory,
bense jones proteins,each,2000,Private,Laboratory,
sediment microscopy,each,2000,Private,Laboratory,
ketonuria,each,2000,Private,Laboratory,
birirubinuaria,each,2000,Private,Laboratory,
haematuria,each,2000,Private,Laboratory,
glucossuria,each,2000,Private,Laboratory,
pregnancy test,each,2000,Private,Laboratory,
specific gravity,each,2000,Private,Laboratory,
urinalysis ( full report),each,2000,Private,Laboratory,
urobilinogen,each,2000,Private,Laboratory,
24 hr VMA assay,each,4000,Private,Laboratory,
antistreptolysin ΓÇô O,each,1500,Private,Laboratory,
C- reactive protein,each,1500,Private,Laboratory,
brucella,each,2000,Private,Laboratory,
HIV (rapid),each,2000,Private,Laboratory,
HIV (elisa),each,3000,Private,Laboratory,
HIV (western blot),each,6000,Private,Laboratory,
Hepatitis B,each,2000,Private,Laboratory,
Hepatitis C,each,2000,Private,Laboratory,
Infectious mononucleosis,each,2000,Private,Laboratory,
rheumatoid factor,each,2000,Private,Laboratory,
schistosoma igG,each,2000,Private,Laboratory,
schistosoma igM,each,2000,Private,Laboratory,
VDRL,each,2000,Private,Laboratory,
widal,each,2000,Private,Laboratory,
blood group and rhesus status,each,2000,Private,Laboratory,
coombs-direct and indirect,each,2000,Private,Laboratory,
blood cross-mach,each,5500,Private,Laboratory,
hepatitis A,each,2000,Private,Laboratory,
TSH,each,9000,Private,Laboratory,
tri-iodo- thyronine (T3),each,5400,Private,Laboratory,
Thyronine T4,each,5400,Private,Laboratory,
Prostatic specific antigen (PSA),each,6300,Private,Laboratory,
progesterone,each,6300,Private,Laboratory,
proclatin,each,5400,Private,Laboratory,
oestradiol,each,4500,Private,Laboratory,
LH,each,4500,Private,Laboratory,
SH,each,4500,Private,Laboratory,
vitamin B12,each,4500,Private,Laboratory,
folate,each,3600,Private,Laboratory,
free iron,each,3600,Private,Laboratory,
testestorone,each,3600,Private,Laboratory,
pap smear,each,3600,Private,Laboratory,
epillim and tegretol blood vessels,each,3600,Private,Laboratory,
phenytoin blood vessels,each,3600,Private,Laboratory,
alcohol blood vessels,each,3600,Private,Laboratory,
CD4 count,each,1800,Private,Laboratory,
viral load,each,10800,Private,Laboratory,
CVM,each,10800,Private,Laboratory,
herpes abs,each,7200,Private,Laboratory,
alpha feto-protein (AFP),each,7200,Private,Laboratory,
AFI,each,4500,Private,Laboratory,
ANF,each,9000,Private,Laboratory,
semen analysis,each,2520,Private,Laboratory,
histology,each,5400,Private,Laboratory,
Alkaline Phosphate,each,1800,Private,Laboratory,
AST/SGOT/100,each,1800,Private,Laboratory,
ALT/SGOT/100,each,1800,Private,Laboratory,
Creatinine/100,each,1800,Private,Laboratory,
Urea/100,each,1800,Private,Laboratory,
Bilirubin T&D,each,1800,Private,Laboratory,
Urea/100,each,1800,Private,Laboratory,
T. Protein,each,1800,Private,Laboratory,
Sodium,each,1800,Private,Laboratory,
Potassium,each,1800,Private,Laboratory,
Chloride,each,1800,Private,Laboratory,
Calcium,each,1800,Private,Laboratory,
HBsAg,each,1800,Private,Laboratory,
HCV,each,1800,Private,Laboratory,
Syphillis,each,1800,Private,Laboratory,
"ABO,Anti A & B",each,840,Private,Laboratory,
ABO Anti-D,each,840,Private,Laboratory,
